Date,Price,Price,Dividend,Dividend,Earnings,Earnings,Cpi,CAPE
1871-01-01,4.44,109.0500184933303,0.26,6.385811893753576,0.4,9.824325990390117,12.46406116,
1871-02-01,4.5,107.24890759347416,0.26,6.1966035498451735,0.4,9.533236230531037,12.84464132,
1871-03-01,4.61,108.26626906652555,0.26,6.1061236349884265,0.4,9.394036361520655,13.0349719,
1871-04-01,4.74,115.53612444021182,0.26,6.3374245473533914,0.4,9.749883919005217,12.55922645,
1871-05-01,4.86,121.21578056782892,0.26,6.484794845192495,0.4,9.976607454142298,12.27381157,
1871-06-01,4.82,122.111711949654,0.26,6.586938818861004,0.4,10.133752029016929,12.08348099,
1871-07-01,4.73,119.83161774312518,0.26,6.586938818861004,0.4,10.133752029016929,12.08348099,
1871-08-01,4.79,123.29287774557214,0.26,6.692306516461119,0.4,10.29585617917095,11.8932314,
1871-09-01,4.84,121.6602458052505,0.26,6.53546774986883,0.4,10.054565769028967,12.17864628,
1871-10-01,4.59,113.60150815143048,0.26,6.434943816856629,0.4,9.899913564394813,12.36889587,
1871-11-01,4.64,114.83899734697982,0.26,6.434943816856629,0.4,9.899913564394813,12.36889587,
1871-12-01,4.74,114.66725385253483,0.26,6.289764979252966,0.4,9.676561506543022,12.65439174,
1872-01-01,4.86,117.57022230449772,0.2633,6.369596611681945,0.4025,9.737040015958918,12.65439174,
1872-02-01,4.88,118.05405037982489,0.2667,6.451847384487561,0.405,9.797518525374812,12.65439174,
1872-03-01,5.04,120.11877650469104,0.27,6.43493445560845,0.4075,9.711984409853493,12.84464132,
1872-04-01,5.18,120.77104961307717,0.2733,6.371955185184168,0.41,9.559098521498386,13.13013719,
1872-05-01,5.18,120.77104961307717,0.2767,6.451225758289277,0.4125,9.617385707605084,13.13013719,
1872-06-01,5.13,120.4785163365024,0.28,6.575825453064459,0.415,9.74631272507768,13.0349719,
1872-07-01,5.1,121.54876193927069,0.2833,6.751914560273606,0.4175,9.950315315616768,12.84464132,
1872-08-01,5.04,119.2353677687614,0.2867,6.782694432401567,0.42,9.936280647396783,12.93980661,
1872-09-01,4.95,116.2511999738181,0.29,6.810676362102474,0.4225,9.92245090685619,13.0349719,
1872-10-01,4.97,119.33460413745328,0.2933,7.042422413182103,0.425,10.204669367890874,12.74947603,
1872-11-01,4.95,115.40862849126101,0.2967,6.917523247142857,0.4275,9.967108824245269,13.13013719,
1872-12-01,5.07,119.94510210071832,0.3,7.097343319569131,0.43,10.172858758049088,12.93980661,
1873-01-01,5.11,120.89141454332754,0.3025,7.156487847232207,0.4325,10.232003285712164,12.93980661,
1873-02-01,5.15,119.20833433240291,0.305,7.059911062404445,0.435,10.069053482445682,13.22522149,
1873-03-01,5.11,118.28244435700562,0.3075,7.117779185866776,0.4375,10.126921605908015,13.22522149,
1873-04-01,5.04,116.66213690006032,0.31,7.175647309329108,0.44,10.184789729370346,13.22522149,
1873-05-01,5.05,119.47194587941371,0.3125,7.393065957884512,0.4425,10.468581396364469,12.93980661,
1873-06-01,4.98,121.38605479161495,0.315,7.678033586216608,0.445,10.846745859893304,12.55922645,
1873-07-01,4.97,121.1423076936398,0.3175,7.738970360710391,0.4475,10.907682634387086,12.55922645,
1873-08-01,4.97,121.1423076936398,0.32,7.7999071352041724,0.45,10.968619408880867,12.55922645,
1873-09-01,4.59,111.87991797058486,0.3225,7.860843909697956,0.4525,11.029556183374652,12.55922645,
1873-10-01,4.19,104.50496308214059,0.325,8.105993556490619,0.455,11.348390979086865,12.27381157,
1873-11-01,4.04,103.98814740962662,0.3275,8.429732246696217,0.4575,11.775885504926777,11.8932314,
1873-12-01,4.42,111.10295174777008,0.33,8.295016759448899,0.46,11.562750634383313,12.17864628,
1874-01-01,4.66,115.33399302519958,0.33,8.167428690625721,0.46,11.384900599054037,12.36889587,
1874-02-01,4.8,118.79896277273775,0.33,8.167428690625721,0.46,11.384900599054037,12.36889587,
1874-03-01,4.73,117.06647789896867,0.33,8.167428690625721,0.46,11.384900599054037,12.36889587,
1874-04-01,4.6,115.6275063438331,0.33,8.295016759448899,0.46,11.562750634383313,12.17864628,
1874-05-01,4.48,113.49802272498961,0.33,8.360345423938966,0.46,11.653814833369468,12.08348099,
1874-06-01,4.46,115.72478371565524,0.33,8.562596104521576,0.46,11.935740024484623,11.79806612,
1874-07-01,4.46,114.7987963977561,0.33,8.494081347816035,0.46,11.840234606046595,11.8932314,
1874-08-01,4.47,115.98425632488316,0.33,8.562596104521576,0.46,11.935740024484623,11.79806612,
1874-09-01,4.54,117.80056458947864,0.33,8.562596104521576,0.46,11.935740024484623,11.79806612,
1874-10-01,4.53,119.46839848489518,0.33,8.70299591611819,0.46,12.131448852770813,11.60773554,
1874-11-01,4.57,121.51872282374461,0.33,8.774874952261646,0.46,12.231643872849569,11.51265124,
1874-12-01,4.54,120.72100691899355,0.33,8.774874952261646,0.46,12.231643872849569,11.51265124,
1875-01-01,4.54,120.72100691899355,0.3275,8.708398626865725,0.4517,12.010942472535108,11.51265124,
1875-02-01,4.53,120.45510161740988,0.325,8.641922301469803,0.4433,11.78758201920481,11.51265124,
1875-03-01,4.59,122.05053342691198,0.3225,8.575445976073881,0.435,11.56688061889035,11.51265124,
1875-04-01,4.65,122.63312427257452,0.32,8.439268767144911,0.4267,11.253237446689793,11.60773554,
1875-05-01,4.47,120.85772573411639,0.3175,8.584413405051892,0.4183,11.309795676640018,11.32232066,
1875-06-01,4.38,120.4482473718163,0.315,8.662373954822405,0.41,11.274835941197416,11.13207107,
1875-07-01,4.39,120.72324337038206,0.3125,8.593624955180958,0.4017,11.04658926238781,11.13207107,
1875-08-01,4.41,120.24615590583029,0.31,8.452677626033422,0.3933,10.72399390425466,11.22715537,
1875-09-01,4.37,120.17325137325051,0.3075,8.45612695589806,0.385,10.58734594478294,11.13207107,
1875-10-01,4.3,118.24827938328997,0.305,8.387377956256614,0.3767,10.359099265973333,11.13207107,
1875-11-01,4.37,121.2094404404624,0.3025,8.39035600302972,0.3683,10.215431788151557,11.03690579,
1875-12-01,4.37,122.26365403200704,0.3,8.39338586032085,0.36,10.072063032385019,10.9417405,
1876-01-01,4.46,125.87647469970383,0.3,8.46702744616842,0.3533,9.971335989104341,10.84657521,
1876-02-01,4.52,127.5698801889375,0.3,8.46702744616842,0.3467,9.785061385288637,10.84657521,
1876-03-01,4.51,127.28764594073189,0.3,8.46702744616842,0.34,9.595964438990876,10.84657521,
1876-04-01,4.34,123.5729408248181,0.3,8.54190835194595,0.3333,9.490060179011953,10.75149091,
1876-05-01,4.18,123.38481952839561,0.3,8.855369822612126,0.3267,9.643497736824605,10.37091074,
1876-06-01,4.15,125.96696716159285,0.3,9.106045818910324,0.32,9.713115540171014,10.08541488,
1876-07-01,4.1,124.4492928584411,0.3,9.106045818910324,0.3133,9.509747183548683,10.08541488,
1876-08-01,3.93,118.17411728117649,0.3,9.020924983295915,0.3067,9.222392307922856,10.18058017,
1876-09-01,3.69,109.92978373165128,0.3,8.93738079119116,0.3,8.93738079119116,10.27574545,
1876-10-01,3.67,107.34649889534056,0.3,8.774918165831654,0.2933,8.578944993461414,10.46599504,
1876-11-01,3.6,104.35018175696986,0.3,8.695848479747488,0.2867,8.310332530478684,10.56116033,
1876-12-01,3.58,101.93343966655505,0.3,8.54190835194595,0.28,7.972447795149557,10.75149091,
1877-01-01,3.55,99.32173268046337,0.2908,8.135988693937678,0.2817,7.881389322841278,10.9417405,
1877-02-01,3.34,95.94919360206259,0.2817,8.092481388533244,0.2833,8.138445074091118,10.65632562,
1877-03-01,3.17,95.3211073234935,0.2725,8.194006859827125,0.285,8.56987873413112,10.18058017,
1877-04-01,2.94,85.99419802515021,0.2633,7.701453176878248,0.2867,8.385896793813119,10.46599504,
1877-05-01,2.94,84.45827221259403,0.2542,7.302480543007278,0.2883,8.282081591459475,10.65632562,
1877-06-01,2.73,82.86501695208396,0.245,7.436604085443433,0.29,8.802510958279981,10.08541488,
1877-07-01,2.85,85.69878734131119,0.2358,7.090447036870589,0.2917,8.771346058758063,10.18058017,
1877-08-01,3.05,95.27437499999996,0.2267,7.081541249999999,0.2933,9.161958749999997,9.8,
1877-09-01,3.24,102.20195701795708,0.2175,6.860779522038784,0.295,9.305425098857201,9.704834711,
