Date,Open,High,Low,Close,Volume
2000-01-03,20.67149728906195,20.67149728906195,19.881799639816887,20.601818084716797,1876200
2000-01-04,20.067617819598055,20.34633473375914,19.440504762735618,19.556636810302734,1091000
2000-01-05,19.23146059888181,19.719215034360694,18.627574154955568,19.266300201416016,3812000
2000-01-06,19.04565406856394,19.359210568473227,18.44176747614606,18.627578735351562,3340000
2000-01-07,18.441768267575434,18.952749252319336,18.25595700039583,18.952749252319336,1372000
2000-01-10,19.695988318433166,19.858573127665515,19.34759229864956,19.672761917114258,2041000
2000-01-11,19.695987854374714,19.870185860162227,19.022422231996334,19.115327835083008,2822600
2000-01-12,19.463727028214254,19.463727028214254,18.81338770030256,19.034038543701172,3966400
2000-01-13,19.277915908462912,19.324368717880894,18.906293433119046,19.208236694335938,2386000
2000-01-14,19.788904149481592,19.963102249389,19.61470604957418,19.649545669555664,2767800
2000-01-18,19.60308340925949,19.963092642486412,19.550824004436226,19.75405502319336,1101600
2000-01-19,19.672766434754564,19.87019089130169,19.53340799483895,19.788898468017578,1580800
2000-01-20,20.160519754594517,20.2301989703362,19.742444460144398,19.905029296875,2191200
2000-01-21,20.02115686678942,20.02115686678942,19.748246665879005,19.928251266479492,2869400
2000-01-24,20.044395244552426,20.19536693527038,19.17340472117964,19.277923583984375,1137800
2000-01-25,19.237265042659633,19.707599624143313,18.975968052946477,19.6901798248291,5964800
2000-01-26,19.579861673494666,19.60308808117378,18.929522258479423,19.045654296875,1678600
2000-01-27,19.27791567271566,19.3708212904155,18.47660472005459,18.859840393066406,2476200
2000-01-28,18.62757523245586,18.99919768098366,17.884330335400268,18.1862735748291,4914000
2000-01-31,18.186270927174572,18.790157318115234,17.791422133097985,18.790157318115234,2624600
2000-02-01,18.772745945840423,19.23146754488818,18.59274126773308,19.185014724731445,949800
2000-02-02,19.115322346870716,19.568237031881626,19.115322346870716,19.324359893798828,1069400
2000-02-03,19.417269804767358,19.881797790527344,19.237265210285365,19.881797790527344,2489200
2000-02-04,19.974716221763135,20.29988602072207,19.92826339334043,20.11407470703125,1383400
2000-02-07,20.160517514024153,20.392781540683416,19.997932695362667,20.346328735351562,1310600
2000-02-08,20.508908612695752,20.71794618632459,20.468262417823478,20.532135009765625,1772000
2000-02-09,20.717953073473186,20.857311502218522,20.160519358491843,20.27665138244629,3246600
2000-02-10,20.323101390491832,20.76440302068537,20.253422185724432,20.758596420288086,2315200
2000-02-11,20.758601194140557,20.764407795873183,20.02116277409696,20.206974029541016,2004200
2000-02-14,20.346338875741537,20.346338875741537,19.974716247874113,20.21859359741211,703000
2000-02-15,20.189552364480456,20.416009811191625,19.684378060278615,20.27665138244629,601200
2000-02-16,20.206970188490057,20.439234213645115,20.13729098094354,20.172130584716797,344200
2000-02-17,20.433427952431344,20.671498582169818,20.137291315439587,20.625045776367188,462400
2000-02-18,20.648269668881433,20.648269668881433,19.88179846632453,19.928251266479492,725400
2000-02-22,19.835344991951345,20.067608984831338,19.324364207615364,19.881797790527344,2467800
2000-02-23,19.92825729992925,20.62504951321349,19.875997883932932,20.48569107055664,366600
2000-02-24,20.61924368536886,20.83408795919557,20.25342775966392,20.741182327270508,639800
2000-02-25,20.764409273879686,20.996673359717267,20.39278673653956,20.543758392333984,1874400
2000-02-28,20.34633188662322,20.671501574308977,19.788898136304773,20.29987907409668,3016600
2000-02-29,20.71794958776009,20.810855191292646,20.578591182461253,20.764402389526367,948200
2000-03-01,20.81086104045543,21.275389188679878,20.81086104045543,20.973445892333984,1927000
2000-03-02,21.136027051691425,21.298611875165975,20.845697009772586,21.182479858398438,2195200
2000-03-03,21.554099582805417,21.856042788167994,21.321835578680357,21.768943786621094,803200
2000-03-06,21.768957129908284,22.076707124009413,21.554112794403718,21.73411750793457,1335000
2000-03-07,21.983792061858125,22.11153728778546,21.136028289794922,21.136028289794922,2609600
2000-03-08,21.39151645685118,21.6005540769507,20.99666761888541,21.507648468017578,2179200
2000-03-09,21.53087659152049,22.20444231013332,21.321838954709612,22.157989501953125,571800
2000-03-10,22.29734668173052,22.541223911061948,22.111535459382765,22.20444107055664,530000
2000-03-13,21.73992161841909,22.390261154012823,21.554110322535166,21.87928009033203,4022400
2000-03-14,22.157988287714886,22.343799510253376,21.298611383474373,21.37990379333496,928400
2000-03-15,21.55409826950318,21.623777466495106,20.903759097578515,21.008277893066406,1238600
2000-03-16,21.275393331152763,21.73992156982422,20.76441226861416,21.73992156982422,5453200
2000-03-17,21.832817412119567,22.297345442164666,21.809591010617314,22.250892639160156,882000
2000-03-20,22.343800734673906,22.529611967394686,21.972178269232344,22.157989501953125,790800
2000-03-21,22.0999232624354,22.901234195229957,21.79217341143459,22.738649368286133,1298400
2000-03-22,22.878010579381122,23.319312306293043,22.76187854598325,23.133501052856445,1337000
2000-03-23,23.15671771758883,23.783830434113302,23.08703852686389,23.574792861938477,968200
2000-03-24,23.807067219008747,24.318048173953326,23.412218299278848,23.778034210205078,2206200
2000-03-27,23.876737047535507,24.1322274245033,23.807057853817017,23.969642639160156,1566200
2000-03-28,23.969654450705413,23.969654450705413,23.388994216918945,23.388994216918945,1251200
2000-03-29,23.412220955382832,23.43544736506079,22.58768341181528,22.703815460205078,6663800
2000-03-30,22.552834427569817,22.982522828095092,21.461193626235335,22.088306427001953,9271600
2000-03-31,22.3902537815342,22.738649846599568,21.786367268754233,22.506385803222656,639200
2000-04-03,22.227665662765503,22.227665662765503,21.275383225802717,21.554100036621094,5290000
2000-04-04,21.449579142382664,21.832814719913053,19.428882460858798,21.345060348510742,4423000
2000-04-05,21.043121028590846,21.99540354754474,20.857309805380332,21.48442268371582,1200400
2000-04-06,21.832824674461797,22.088315175971456,21.461202126811383,21.763145446777344,346000
2000-04-07,22.041857716468833,22.529612207560348,21.879272886104996,22.506385803222656,466000
2000-04-10,22.506392487111388,22.576071720817616,21.69346809387207,21.69346809387207,1330200
2000-04-11,21.362477406712184,21.600547962209657,20.810850509827798,21.15924644470215,2958400
2000-04-12,21.112803647215937,21.112803647215937,19.742445654712373,19.788898468017578,2676200
2000-04-13,20.067614464926713,20.532142577540757,19.4056619044517,19.411468505859375,4364200
2000-04-14,18.859849197695954,19.33599071069197,17.559169942682438,18.395320892333984,3816000
2000-04-17,18.11659281839154,19.394044876098633,18.0701400162931,19.394044876098633,1810800
2000-04-18,19.556628119709135,20.497297286987305,19.370816926172704,20.497297286987305,1146400
2000-04-19,20.160515175692577,20.48568477530052,19.78889277614064,19.823732376098633,710600
2000-04-20,19.88180980276554,20.02116828269147,19.417281536345786,19.649545669555664,482800
2000-04-24,18.813390220083843,19.092107112233233,18.348862066501525,19.045654296875,1222200
2000-04-25,19.603084324553652,20.14890480041504,19.423079699535535,20.14890480041504,715800
2000-04-26,20.206976373943682,20.508919699071576,19.765674591064453,19.765674591064453,2924000
2000-04-27,19.46373092347061,20.439240110565795,19.46373092347061,20.381174087524414,963400
2000-04-28,20.601820516586304,20.69472613334656,20.253424453735352,20.43923568725586,1293000
2000-05-01,20.741175959824847,20.90376076578092,20.53213835216704,20.729562759399414,391600
2000-05-02,20.5553663593449,20.601819164676755,19.881800682033035,20.346328735351562,1365200
2000-05-03,19.6263089441741,19.812120153113025,18.95274331177049,19.46372413635254,1533200
2000-05-04,19.428878667262882,19.695982199448803,19.20822792328321,19.324359893798828,357200
2000-05-05,19.533404903406286,19.928253754010218,19.46372569447618,19.852767944335938,600000
2000-05-08,19.394048536958806,19.55663337499319,19.10371846904026,19.150171279907227,310800
2000-05-09,19.277914976462338,19.30114138004844,18.581122868879362,18.79596710205078,2472400
2000-05-10,18.441766402009247,18.51144562015286,17.74497422057313,17.88433265686035,2039600
2000-05-11,18.00046871993532,18.44177053371438,17.768204607420024,18.389511108398438,862400
2000-05-12,18.76693717975569,19.10372008706566,18.627578735351562,18.627578735351562,443000
2000-05-15,18.766927936231784,19.022418291799298,18.25594722509676,18.97596549987793,315200
2000-05-16,19.417273926579096,19.603085160326263,19.05726466119396,19.545019149780273,816000
2000-05-17,19.34759260732916,19.45211141493178,18.9991965819871,19.266300201416016,737200
2000-05-18,19.2779169218291,19.2779169218291,18.72048317951115,18.778549194335938,413600
2000-05-19,18.627579064289424,18.65080547210026,17.9424000338698,18.046918869018555,1555000
2000-05-22,17.88433713610895,18.00046919543433,17.094639132696347,17.96562957763672,905200
2000-05-23,18.023685227269713,18.023685227269713,17.071402889230978,17.094629287719727,668600
2000-05-24,17.280445413028495,17.837879136029414,16.60687966440238,17.768199920654297,1427200
2000-05-25,18.093368740652092,18.267566770889434,17.350123811639424,17.477869033813477,1212200
2000-05-26,17.675294790204788,17.733360804627274,17.187540269055905,17.53593635559082,287000
2000-05-30,17.977234456076552,18.674026489257812,17.88432885165238,18.674026489257812,1642200
2000-05-31,18.581119941319553,18.8366103405127,18.290789942236437,18.314016342163086,505600
2000-06-01,18.67401817469921,19.138545989990234,18.55788622087645,19.138545989990234,1080400
2000-06-02,19.97470857926876,20.148906619204247,19.74244452602145,20.00954818725586,1716200
2000-06-05,19.88180425431993,20.346332391103108,19.88180425431993,20.067615509033203,783800
2000-06-06,20.067615347848815,20.346332227680048,19.788898468017578,19.788898468017578,894400
2000-06-07,19.90502255303519,20.195352520261494,19.614692585808893,20.160512924194336,476600
2000-06-08,20.32310598426395,20.433431416749954,19.905030661159092,20.067615509033203,554200
2000-06-09,20.32311243493342,20.32311243493342,19.997942635974486,20.11407470703125,261800
2000-06-12,20.079221366711383,20.125674163395505,19.6263065990412,19.695985794067383,738600
2000-06-13,19.76567849386096,20.11407470703125,19.46373510911338,20.11407470703125,724400
2000-06-14,20.160522245519303,20.27665428610409,19.730833695355585,19.742446899414062,445200
2000-06-15,19.881813709298633,20.299889231223137,19.788908037759853,20.137304306030273,254600
2000-06-16,20.206974029541016,20.357945674589313,20.00954957063171,20.206974029541016,941000
2000-06-19,20.230194000414155,20.926985986651154,20.160514801790455,20.845693588256836,1025000
2000-06-20,20.938606243133545,21.176676918665567,20.75279498418172,20.903766632080078,404200
2000-06-21,20.717952350162726,21.14764082379278,20.69472594618272,21.089574813842773,682000
2000-06-22,20.926990175247195,21.008282589912415,20.36955647468567,20.43923568725586,1244400
2000-06-23,20.439233433871554,20.497299437945053,19.905026196395365,20.003738403320312,227800
2000-06-26,20.183757141799664,20.346342066992527,19.97471938083741,20.137304306030273,384000
2000-06-27,20.160523634006896,20.357948116597978,19.905033127124323,19.93987274169922,295800
2000-06-28,19.881813709298633,20.404408111704264,19.881813709298633,20.137304306030273,319000
2000-06-29,19.881805348115808,20.021163796817557,19.626314858829275,19.742446899414062,925800
2000-06-30,19.742455201990463,20.137304306030273,19.742455201990463,20.137304306030273,527200
2000-07-03,20.090840144119177,20.27665138244629,20.021160929746507,20.27665138244629,78800
2000-07-05,19.951474170571952,19.997926962587254,19.498559448422764,19.626304626464844,297800
2000-07-06,19.55662886523978,19.951477666556972,19.31275166442622,19.928251266479492,254800
2000-07-07,19.997925721177268,20.427614020645073,19.997925721177268,20.253416061401367,383000
