Date,Open,High,Low,Close,Volume
2003-09-29,48.97340451450138,48.97819323929598,48.882437007037815,48.915950775146484,13600
2003-09-30,48.978161256274305,49.18881752422897,48.97337253460677,49.1696662902832,62600
2003-10-01,49.14097467229383,49.19363968826584,49.12182342532884,49.1457633972168,66300
2003-10-02,48.93029002734467,49.145738707920934,48.83932621586694,49.06913375854492,68900
2003-10-03,48.85851828542456,48.85851828542456,48.690945731801456,48.71488571166992,64500
2003-10-06,48.66215900459604,48.82972769311751,48.64300777551881,48.78664016723633,28700
2003-10-07,48.805811026635425,48.805811026635425,48.53769736443887,48.61909103393555,13000
2003-10-08,48.590397842045356,48.85851170006795,48.48985651505973,48.73881912231445,42700
2003-10-09,48.542477739052345,48.5951427179597,48.40363403581697,48.5664176940918,35900
2003-10-10,48.6813540764141,48.85850036537501,48.6813540764141,48.83456039428711,13500
2003-10-13,48.834536055443124,48.88241232103093,48.61909103393555,48.61909103393555,23700
2003-10-14,48.56644478922683,48.63825738896072,48.42281228430638,48.523353576660156,54300
2003-10-15,48.44196994336564,48.47069498706309,48.307914869141804,48.40366744995117,23100
2003-10-16,48.54249743175116,48.619102396775034,48.14033232355313,48.27438735961914,62300
2003-10-17,48.37492224211445,48.504188537597656,48.236078500906395,48.504188537597656,55600
2003-10-20,48.42284078956582,48.58083590744063,48.42284078956582,48.47550582885742,12900
2003-10-21,48.5424991760932,48.70528290625558,48.5424991760932,48.571224212646484,49000
2003-10-22,48.71482397137757,48.81057646404028,48.59992024963763,48.78664016723633,25400
2003-10-23,48.75796368647235,48.77232986320004,48.66699981689453,48.66699981689453,20700
2003-10-24,48.738788040077864,48.90635681152344,48.738788040077864,48.90635681152344,28200
2003-10-27,48.85373347910706,48.89203598887891,48.7388296025199,48.81064224243164,35400
2003-10-28,48.738788215149064,49.00210952758789,48.738788215149064,49.00210952758789,16600
2003-10-29,48.87281887172215,48.88239265989904,48.78664016723633,48.78664016723633,71700
2003-10-30,48.7339752004548,48.81536518449045,48.72918648000463,48.78664016723633,17300
2003-10-31,48.78664215086895,48.78664215086895,48.547257256755486,48.71003723144531,31000
2003-11-03,48.685551674187856,48.72879179339921,48.62308883666992,48.62308883666992,56700
2003-11-04,48.74321357559116,48.8056764238851,48.71919250488281,48.71919250488281,26900
2003-11-05,48.767238311959616,48.80087074347939,48.71919250488281,48.71919250488281,24600
2003-11-06,48.61349527709058,48.61830095806443,48.45494079589844,48.45494079589844,78000
2003-11-07,48.37809129287056,48.47898864746094,48.310826389810295,48.47898864746094,33400
2003-11-10,48.565422749291095,48.59424948795599,48.483744545968214,48.57022476196289,21100
2003-11-11,48.61347721716277,48.62308490988066,48.43570374377869,48.4837532043457,23700
2003-11-12,48.54623885325504,48.690376316605885,48.435730165590996,48.57506561279297,16400
2003-11-13,48.78167511297266,48.964254399465105,48.78167511297266,48.93061828613281,25400
2003-11-14,48.96906661987305,49.08438103505195,48.954653234391344,48.96906661987305,18800
2003-11-17,49.11316948520189,49.20926109054568,49.093950431001176,49.175628662109375,48800
2003-11-18,49.069937041866595,49.17564003157929,49.03150259023885,49.15161895751953,26800
2003-11-19,49.14200364840028,49.15161500978072,48.920989990234375,48.920989990234375,44900
2003-11-20,49.007490277879626,49.132412357914355,48.978663515433745,49.089168548583984,21400
2003-11-21,49.17086321004336,49.21891271768552,49.108403982036435,49.14203643798828,66500
2003-11-24,49.05068582422668,49.07471054819579,48.93537521362305,48.93537521362305,37000
2003-11-25,48.90177843533798,49.12759780883789,48.90177843533798,49.12759780883789,54000
2003-11-26,49.04594352225697,49.074770293588074,48.94984817504883,48.94984817504883,25300
2003-11-28,48.887383965251004,48.887383965251004,48.87297058105469,48.87297058105469,22900
2003-12-01,48.729345891038626,48.81124306800763,48.65708216263061,48.73897933959961,58700
2003-12-02,48.580020820705066,48.729366903945035,48.46440101068661,48.72454833984375,52100
2003-12-03,48.608979147543614,48.82576697651062,48.608979147543614,48.77277374267578,32400
2003-12-04,48.72460847430892,48.89804024112469,48.681252370351,48.84504699707031,25200
2003-12-05,49.085868233526035,49.0906867980957,48.90280321024495,49.0906867980957,42200
2003-12-08,49.13404285275918,49.15813200011968,49.04732706794438,49.0906867980957,67200
2003-12-09,49.15818415880349,49.18708822591412,48.75832741147842,48.816139221191406,87900
2003-12-10,49.01360013645915,49.018418700603085,48.94615494039412,49.008785247802734,120500
2003-12-11,48.941358856758605,49.20632487407061,48.84982814890564,49.18223571777344,91600
2003-12-12,49.254484292214705,49.30265891443453,49.11477531493556,49.21112823486328,16400
2003-12-15,49.23522892123584,49.25931807753301,49.0666158536233,49.18223571777344,21100
2003-12-16,49.18703908600933,49.230398818848826,49.090689841569684,49.21112823486328,61500
2003-12-17,49.35084788918012,49.40384108773341,49.21595744758588,49.33157730102539,23100
2003-12-18,49.35567604903303,49.447210448505096,49.24005616450875,49.40385437011719,33400
2003-12-19,49.399005816361154,49.42790985107422,49.31229003673433,49.42790985107422,26500
2003-12-22,49.47129960904717,49.52429282184786,49.268960216767354,49.40385437011719,139700
2003-12-23,49.32674806328848,49.37974125037671,49.21112823486328,49.21112823486328,80300
2003-12-24,49.30269200077397,49.374955820342976,49.19189066285997,49.24970245361328,16200
2003-12-26,49.42310136581498,49.495365142822266,49.288210942328504,49.495365142822266,54500
2003-12-29,49.37974227102269,49.42791689423825,49.21594781699215,49.37492370605469,37600
2003-12-30,49.27859436643508,49.326769009111494,49.17742651416771,49.28341293334961,33800
