Date,Open,High,Low,Close,Volume
2022-07-28,53.600791094390615,53.99364623756854,52.930065475682326,53.984066009521484,4808900
2022-07-29,53.524141494619,54.1277982426161,53.198358893894614,54.012813568115234,5981000
2022-08-01,53.61037464726293,54.491901829379145,53.25584772881884,53.9361572265625,3758200
2022-08-02,53.600788585749164,54.49669155620845,53.543299909796474,53.849918365478516,4688400
2022-08-03,54.06072964793561,55.31595177445618,53.964912727515326,55.14347839355469,4331600
2022-08-04,54.99974719731663,55.660892650742795,54.875182289796626,55.383018493652344,3261800
2022-08-05,54.31943045661412,55.03806820276617,54.20924138243861,54.70270538330078,3421900
2022-08-08,55.02848570807296,56.11123422446609,54.94224903587916,55.01890182495117,3962700
2022-08-09,54.87518552590623,54.87518552590623,54.214040033490875,54.482330322265625,2718100
2022-08-10,55.74713253268847,56.293296994088976,55.55549504592771,56.01542282104492,3338800
2022-08-11,56.68615114564989,57.25147971075834,55.96751332501275,56.072914123535156,3001700
2022-08-12,56.676557131255805,57.07899245844404,56.37951892177395,57.06941223144531,2779000
2022-08-15,56.8011296962848,57.40478646274392,56.70531278645101,57.2706413269043,2623700
2022-08-16,56.992768742445776,57.72099043591083,56.72447846336966,57.385623931884766,2471200
2022-08-17,56.6573990595407,56.877780855796445,56.15914313337014,56.27412414550781,4400800
2022-08-18,56.17831268487101,56.417858615543956,55.66089259737404,56.18789291381836,2416900
2022-08-19,55.68005363550565,55.7567064283938,55.02369650584415,55.27761459350586,3337800
2022-08-22,54.55897641471689,54.55897641471689,53.576840353981794,53.69661331176758,3312500
2022-08-23,53.543309029144694,53.9265803364348,53.1504538374433,53.236690521240234,5294800
2022-08-24,53.07379510792803,53.945742137752724,52.98755842782752,53.552886962890625,4279000
2022-08-25,53.76368276859243,54.6260458217039,53.706190436312845,54.5973014831543,2492100
2022-08-26,54.44398563193358,54.83204877588671,52.8342370756525,52.85340118408203,5293800
2022-08-29,52.47971921464819,53.07379205720341,52.3944401968135,52.44139099121094,3620800
2022-08-30,52.64261366930642,52.8629954921807,51.63652146742615,51.981468200683594,3754600
2022-08-31,52.98755674108091,53.21752243242203,52.09644562680264,52.10602951049805,5491400
2022-09-01,51.97189549769518,52.63304106206026,51.61736482873955,52.58513259887695,6217300
2022-09-02,52.910898334162894,52.94922289933672,51.38738629930006,51.58860397338867,5575700
2022-09-06,51.55986924497161,51.62694181550152,50.601685488623225,50.94662857055664,9950000
2022-09-07,50.898709829749734,52.067694945960575,50.889129602401546,51.97187805175781,7466700
2022-09-08,51.47362949872316,52.09644671019202,51.214919461277056,51.847320556640625,11092400
2022-09-09,52.23059348450529,53.35646229076375,52.23059348450529,53.2941780090332,9515600
2022-09-12,53.38999840978477,53.88346244409915,53.14086859399561,53.572052001953125,4837200
2022-09-13,52.03895956348386,52.1539405873489,50.48669929299205,50.630428314208984,7053200
2022-09-14,50.78373974669488,50.831648204098954,49.998029348688796,50.71666717529297,7515200
2022-09-15,50.50586089868712,51.320319219846,50.29985126126712,50.496280670166016,6948600
2022-09-16,50.1034267410082,50.159957766553795,49.53809820964853,49.95969772338867,10953500
2022-09-19,49.66203998013164,50.24776840209961,49.513205006460375,50.24776840209961,7144500
2022-09-20,49.71964644817421,50.04611782278835,49.31636021872009,49.469993591308594,5358400
2022-09-21,49.59481446719418,49.95969138344878,48.24091942817587,48.2601203918457,6596000
2022-09-22,48.0680870886994,48.50978256306171,47.87604446330888,48.0872917175293,6186200
2022-09-23,47.66479745014623,47.72241133692729,46.58456179763338,47.155887603759766,7014300
2022-09-26,46.944641617687786,47.40554173567203,46.272494238703395,46.38772201538086,6194000
2022-09-27,46.867822727935085,47.1846899292475,45.89800917038849,46.1380615234375,6616900
2022-09-28,46.27249251308175,47.89524884314146,46.2532878843517,47.712806701660156,7825400
2022-09-29,47.203895619397855,47.203895619397855,46.1284620791492,46.55095291137695,6384600
2022-09-30,46.55095597014612,47.27111309282086,45.95562710768273,45.984432220458984,6277400
2022-10-03,46.51254419407024,47.51116289590205,46.37811545784449,47.27111053466797,5783700
2022-10-04,47.885646294433066,48.7402321554269,47.87604581120204,48.721031188964844,8840100
2022-10-05,47.96246457629654,48.567397578318136,47.309521832538614,48.3465461730957,5179800
2022-10-06,48.16410656994045,48.730630300242865,47.914453720968666,48.0872917175293,6508700
2022-10-07,47.472748113669354,47.635985605021716,46.570152659128965,46.79100036621094,4890300
2022-10-10,46.94464896255223,47.17510088905466,46.258098919794065,46.66618728637695,4931000
2022-10-11,46.368516803439846,46.6229717303161,45.54273606216774,45.792388916015625,7811700
2022-10-12,45.82118689342176,46.09484638501459,45.5235207052528,45.73476791381836,5351800
2022-10-13,44.793779758675385,47.02626417095088,44.62382078234527,46.83902359008789,10305300
2022-10-14,47.21349051529305,47.405533111911595,45.97482327606458,46.07084274291992,8173300
2022-10-17,46.85822454796681,47.64559607317284,46.81981528749123,47.33832931518555,6105200
2022-10-18,48.36575088987521,48.480978665741084,47.271112659509,47.693603515625,5524000
2022-10-19,47.799231894902704,48.418567515814495,47.453555858774365,47.732017517089844,11117400
